,Data i miejsce urodzenia:,Funkcja w Sejmie:,Klub/koło:,Liczba głosów:,Lista:,Okręg wyborczy:,Staż parlamentarny:,Strona WWW:,Tytuł/stopień naukowy:,Ukończona szkoła:,Wybrany dnia:,Wygaśnięcie mandatu:,Wykształcenie:,Zawód:,imie
10,21-01-1954,,Klub Parlamentarny Platforma Obywatelska,17925,Platforma Obywatelska,37  Konin,"poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Poznańska, Wydział Budownictwo Lądowe, Budownictwo ogólne - magister inżynier (1977)",25-10-2015,,wyższe,inżynier budownictwa,Paweł Arndt
11,27-09-1958,,Klub Parlamentarny Prawo i Sprawiedliwość,17530,Prawo i Sprawiedliwość,8  Zielona Góra,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (1984)",25-10-2015,,wyższe,radca prawny,Marek Ast
12,01-09-1964,,Klub Parlamentarny Platforma Obywatelska,13928,Platforma Obywatelska,15  Tarnów,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Pedagogiczna, Wydział Filologii Polskiej, Filologia polska - magister (1990)",25-10-2015,,wyższe,dziennikarka,Urszula Augustyn
13,14-06-1979,,Klub Parlamentarny Platforma Obywatelska,9989,Nowoczesna Ryszarda Petru,3  Wrocław,brak,,,"Wyższa Szkoła Handlowa, Wydział Zarządzania, Zarządzanie przedsiębiorstwem - magister (2005)",25-10-2015,,wyższe,ekonomista,Joanna Augustynowska
14,31-10-1960,,Klub Parlamentarny Platforma Obywatelska,6625,Platforma Obywatelska,26  Gdynia,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Gdański, Wydział Ekonomiki Transportu - magister (1986)",25-10-2015,,wyższe,ekonomista,Tadeusz Aziewicz
15,27-04-1953,,Klub Parlamentarny Prawo i Sprawiedliwość,11695,Prawo i Sprawiedliwość,34  Elbląg,"poseł VI kadencji, poseł VII kadencji",,,"Akademia Rolniczo-Techniczna, Wydział Rolny - inżynier (1984)",25-10-2015,,wyższe,poseł na Sejm,Zbigniew Babalski
16,03-02-1975,,Poseł niezrzeszony,12950,Prawo i Sprawiedliwość,3  Wrocław,poseł VII kadencji,,,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Politologia - magister (2000)",25-10-2015,,wyższe,parlamentarzysta,Piotr Łukasz Babiarz
17,09-09-1969,,Klub Parlamentarny Prawo i Sprawiedliwość,10170,Prawo i Sprawiedliwość,22  Krosno,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych, Historia - magister (2007)",25-10-2015,,wyższe,historyk,Piotr Babinetz
18,29-01-1981,,Klub Poselski Kukiz'15,9406,Kukiz'15,22  Krosno,brak,,,"Policealne Studium Zawodowe, Technik informatyk - technik (2002)",25-10-2015,,średnie policelane/pomaturalne,przedsiębiorca,Wojciech Bakun
19,01-09-1969,,Klub Parlamentarny Platforma Obywatelska,6707,Platforma Obywatelska,32  Sosnowiec,brak,,,"Politechnika Śląska, Wydział Organizacji i Zarządzania, Zarządzanie i marketing - magister inżynier (1994)",25-10-2015,,wyższe,ekonomista,Paweł Bańkowski
20,11-01-1968,,Klub Parlamentarny Prawo i Sprawiedliwość,8163,Prawo i Sprawiedliwość,37  Konin,brak,,,"Uniwersytet im Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Politologia - magister (2011)",25-10-2015,,wyższe,samorządowiec,Ryszard Bartosik
21,03-07-1967,,Klub Parlamentarny Prawo i Sprawiedliwość,20725,Prawo i Sprawiedliwość,14  Nowy Sącz,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Administracja - magister (2000)",25-10-2015,,wyższe,prawnik,Barbara Bartuś
