data_uro,klub,glosy_cnt,lista,okreg,staz,tytul,szkola,wybrany,wyksztalcenie,zawod,nazwisko,kadencje_cnt
01-09-69,Klub Parlamentarny Platforma Obywatelska,6707,Platforma Obywatelska,32  Sosnowiec,brak,,"Politechnika ?l?ska, Wydzia? Organizacji i Zarz?dzania, Zarz?dzanie i marketing - magister in?ynier (1994)",25-10-15,wy?sze,ekonomista,Pawe? Ba?kowski,0
11-01-68,Klub Parlamentarny Prawo i Sprawiedliwo??,8163,Prawo i Sprawiedliwo??,37  Konin,brak,,"Uniwersytet im Adama Mickiewicza w Poznaniu, Wydzia? Nauk Politycznych i Dziennikarstwa, Politologia - magister (2011)",25-10-15,wy?sze,samorz?dowiec,Ryszard Bartosik,0
03-07-67,Klub Parlamentarny Prawo i Sprawiedliwo??,20725,Prawo i Sprawiedliwo??,14  Nowy S?cz,"pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Marii Curie-Sk?odowskiej w Lublinie, Wydzia? Prawa i Administracji, Administracja - magister (2000)",25-10-15,wy?sze,prawnik,Barbara Bartu?,2
26-06-61,Klub Parlamentarny Prawo i Sprawiedliwo??,7010,Polskie Stronnictwo Ludowe,24  Bia?ystok,brak,,"Akademia Wychowania Fizycznego w Warszawie, Wydzia? Wychowania Fizycznego, Wychowanie fizyczne - magister (1993)",25-10-15,wy?sze,nauczyciel,Mieczys?aw Kazimierz Baszko,0
04-01-58,Klub Parlamentarny Prawo i Sprawiedliwo??,17961,Prawo i Sprawiedliwo??,17  Radom,"pose? VI kadencji, pose? VII kadencji",,"Szko?a G?ówna Gospodarstwa Wiejskiego w Warszawie, Wydzia? Le?ny - magister in?ynier (1984)",25-10-15,wy?sze,le?nik,Dariusz B?k,2
13-10-62,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,6283,Polskie Stronnictwo Ludowe,11  Sieradz,brak,,"Akademia Rolniczo-Techniczna w Olsztynie, Wydzia? Mechaniczny, Technologia maszyn - magister in?ynier (1987)",25-10-15,wy?sze,pracownik administracji samorz?dowej,Pawe? Bejda,0
17-02-60,Klub Parlamentarny Prawo i Sprawiedliwo??,27673,Prawo i Sprawiedliwo??,15  Tarnów,pose? VII kadencji,profesor doktor habilitowany(2013),"Uniwersytet Jagiello?ski w Krakowie, Wydzia? Prawa i administracji, Politologia - magister (1987)",25-10-15,wy?sze,nauczyciel akademicki,W?odzimierz Bernacki,1
03-09-71,Klub Parlamentarny Platforma Obywatelska,7466,Platforma Obywatelska,17  Radom,brak,,"Wy?sza Szko?a Pedagogiczna im. Jana Kochanowskiego w Kielcach, Wydzia? Pedagogiki Opieku?czo-Wychowawczej, Pedagogika opieku?czo-wychowawcza - magister (1995)",25-10-15,wy?sze,nauczyciel,Anna Bia?kowska,0
19-11-69,Klub Parlamentarny Prawo i Sprawiedliwo??,8510,Prawo i Sprawiedliwo??,6  Lublin,pose? V kadencji,,"Politechnika Rzeszowska im. I. ?ukasiewicza, Wydzia? Elektryczny, Elektrotechnika - magister in?ynier (1993)",25-10-15,wy?sze,in?ynier elektryk,Jerzy Bielecki,1
28-04-59,Klub Parlamentarny Platforma Obywatelska,42586,Platforma Obywatelska,26  Gdynia,"pose? III kadencji, pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Gda?ski, Wydzia? Prawa i Administracji, Prawo - magister (1985)",25-10-15,wy?sze,prawnik,Marek Biernacki,4
13-11-63,Klub Parlamentarny Prawo i Sprawiedliwo??,3644,Prawo i Sprawiedliwo??,12  Chrzanów,brak,,"Akademia Górniczo-Hutnicza w Krakowie, Wydzia? Elektrotechniki, Automatyki i Elektroniki - magister in?ynier (1988)",25-10-15,wy?sze,burmistrz,Zbigniew Biernat,0
19-09-69,Klub Parlamentarny Prawo i Sprawiedliwo??,73139,Prawo i Sprawiedliwo??,20  Warszawa,"pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Warszawski, Wydzia? Historyczny, Historia - magister (1995)",25-10-15,wy?sze,urz?dnik pa?stwowy,Mariusz B?aszczak,2
22-03-83,Pose? niezrzeszony,9437,Kukiz'15,25  Gda?sk,brak,,"RWTH AACHEN, Wydzia? Architektury, Architektura - magister in?ynier architekt (2010)",25-10-15,wy?sze,architekt,Magdalena B?e?ska,0
13-02-59,Klub Parlamentarny Prawo i Sprawiedliwo??,9707,Prawo i Sprawiedliwo??,24  Bia?ystok,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Politechnika Lubelska, Wydzia? Technologii i Eksploatacji Maszyn, Mechanika - magister in?ynier (1982)",25-10-15,wy?sze,pose? na Sejm RP,Jacek Bogucki,3
15-11-57,Klub Parlamentarny Platforma Obywatelska,16931,Platforma Obywatelska,25  Gda?sk,"pose? III kadencji, pose? VI kadencji, pose? VII kadencji",,Technikum Budowy Okr?tów i Statków w Gda?sku - technik (1977),25-10-15,?rednie zawodowe,mechanik budowy okr?tów i statków,Jerzy Borowczak,3
20-08-67,Klub Parlamentarny Prawo i Sprawiedliwo??,8292,Prawo i Sprawiedliwo??,5  Toru?,brak, doktor,"Wy?sza Szko?a Pedagogiczna w Bydgoszczy, Wydzia? Pedagogiczny, Wychowanie muzyczne - magister (1993)",25-10-15,wy?sze,nauczyciel akademicki,Joanna Borowiak,0
13-06-87,Klub Parlamentarny Prawo i Sprawiedliwo??,17183,Prawo i Sprawiedliwo??,7  Che?m,brak,,"Uniwersytet Kardyna?a Stefana Wyszy?skiego w Warszawie, Wydzia? Prawa i Administracja, Administracja - licencjat (2009)",25-10-15,wy?sze,przedsi?biorca,Agata Borowiec,0
13-10-88,Klub Poselski Kukiz'15,8115,Kukiz'15,14  Nowy S?cz,brak,,"Uniwersytet Warszawski, Wydzia? Dziennikarstwa i Nauk Politycznych, Bezpiecze?stwo wewn?trzne - magister (2013)",25-10-15,wy?sze,politolog,El?bieta Zieli?ska,0
11-03-54,Klub Parlamentarny Prawo i Sprawiedliwo??,7912,Prawo i Sprawiedliwo??,31  Katowice,brak,,"Uniwersytet ?l?ski, Wydzia? Prawa i Administracji, Prawo - magister (1996)",25-10-15,wy?sze,prawnik,Bo?ena Borys-Szopa,0
16-05-83,Klub Parlamentarny Platforma Obywatelska,15951,Platforma Obywatelska,4  Bydgoszcz,"pose? VI kadencji, pose? VII kadencji", doktor,"Uniwersytet Warszawski, Wydzia? Prawa, Prawo - magister (2007)",25-10-15,wy?sze,prawnik,Krzysztof Brejza,2
04-02-68,Klub Parlamentarny Prawo i Sprawiedliwo??,46918,Prawo i Sprawiedliwo??,41  Szczecin,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Szczeci?ski, Wydzia? Politologia i Nauki Spo?eczne - magister (1997)",25-10-15,wy?sze,parlamentarzysta,Joachim Brudzi?ski,3
05-04-62,Klub Poselski Kukiz'15,8615,Kukiz'15,12  Chrzanów,brak, doktor habilitowany,"Wy?sza Szko?a Pedagogiczna w Krakowie, Wydzia? Humanistyczny, Historia - magister (1986)",25-10-15,wy?sze,historyk - nauczyciel akademicki,Józef Brynkus,0
04-03-63,Klub Parlamentarny Prawo i Sprawiedliwo??,9813,Prawo i Sprawiedliwo??,13  Kraków,"pose? V kadencji, pose? VII kadencji",,"Uniwersytet Jagiello?ski w Krakowie, Wydzia? Filologiczny, Filologia polska - magister (1986)",25-10-15,wy?sze,filolog j?zyka polskiego,Barbara Bubula,2
06-02-55,Klub Parlamentarny Prawo i Sprawiedliwo??,18202,Prawo i Sprawiedliwo??,23  Rzeszów,brak,,"Politechnika Rzeszowska, Wydzia? Mechaniczny, Technologia budowy maszyn - magister in?ynier (1980)",25-10-15,wy?sze,in?ynier mechanik,Wojciech Buczak,0
21-09-82,Klub Parlamentarny Prawo i Sprawiedliwo??,15028,Prawo i Sprawiedliwo??,9  ?ód?,brak,,"Uniwersytet ?ódzki, Wydzia? Prawa i Administracji, Prawo - magister (2006)",25-10-15,wy?sze,prawnik,Waldemar Buda,0
11-03-78,Klub Parlamentarny Platforma Obywatelska,37761,Platforma Obywatelska,29  Gliwice,pose? VII kadencji, doktor,"Uniwersytet ?l?ski w Katowicach, Wydzia? Prawa i Administracji, Prawo - magister (2002)",25-10-15,wy?sze,nauczyciel akademicki,Borys Budka,1
14-02-52,Klub Parlamentarny Platforma Obywatelska,25715,Platforma Obywatelska,8  Zielona Góra,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Wy?sza Szko?a In?ynierska w Zielonej Górze, Wydzia? Instytut Budowy Maszyn, Maszyny i urz?dzenia przemys?u w?ókienniczego - magister in?ynier (1978)",25-10-15,wy?sze,parlamentarzysta,Bo?enna Bukiewicz,3
27-08-64,Klub Parlamentarny Prawo i Sprawiedliwo??,9760,Prawo i Sprawiedliwo??,28  Cz?stochowa,brak,,"Uniwersytet ?l?ski, Wydzia? Nauk Spo?ecznych, Historia - magister (1990)",25-10-15,wy?sze,nauczyciel,Lidia Burzy?ska,0
01-05-53,Klub Parlamentarny Platforma Obywatelska,13346,Platforma Obywatelska,25  Gda?sk,brak,,"Politechnika Gda?ska, Wydzia? Urbanistyki i Architektury, Architektura - magister in?ynier (1980)",25-10-15,wy?sze,architekt,Ma?gorzata Chmiel,0
