voting,date,time,amendment
glos_14_50,11-05-2012,12:09:45,False
glos_14_51,11-05-2012,12:10:50,True
glos_14_52,11-05-2012,12:11:38,False
glos_14_53,11-05-2012,12:14:11,False
glos_14_54,11-05-2012,12:15:11,False
glos_14_55,11-05-2012,12:16:10,False
glos_14_56,11-05-2012,12:18:24,False
glos_14_57,11-05-2012,12:22:23,True
glos_14_58,11-05-2012,12:24:34,False
glos_14_59,11-05-2012,12:25:40,False
glos_14_6,09-05-2012,09:32:52,False
glos_14_60,11-05-2012,12:26:21,False
glos_14_61,11-05-2012,12:27:04,False
glos_14_62,11-05-2012,12:27:49,False
glos_14_63,11-05-2012,12:28:30,False
glos_14_64,11-05-2012,12:32:43,False
glos_14_65,11-05-2012,13:22:04,False
glos_14_66,11-05-2012,15:49:15,True
glos_14_67,11-05-2012,16:04:29,False
glos_14_68,11-05-2012,16:07:05,False
glos_14_69,11-05-2012,16:10:26,False
glos_14_7,10-05-2012,11:23:32,True
glos_14_70,11-05-2012,16:11:45,False
glos_14_71,11-05-2012,16:25:35,False
glos_14_72,11-05-2012,16:28:50,True
glos_14_73,11-05-2012,16:29:36,True
glos_14_74,11-05-2012,16:32:31,True
glos_14_75,11-05-2012,16:34:36,True
glos_14_76,11-05-2012,16:37:06,True
glos_14_77,11-05-2012,16:38:39,False
glos_14_78,11-05-2012,16:40:23,False
glos_14_79,11-05-2012,16:41:39,False
glos_14_8,10-05-2012,11:24:18,True
glos_14_80,11-05-2012,16:42:41,False
glos_14_81,11-05-2012,16:43:44,False
glos_14_9,10-05-2012,11:27:46,True
glos_15_1,23-05-2012,09:07:21,False
glos_15_11,25-05-2012,09:32:36,False
glos_15_12,25-05-2012,09:34:43,False
glos_15_13,25-05-2012,09:36:17,False
glos_15_14,25-05-2012,09:39:37,True
glos_15_15,25-05-2012,09:42:07,True
glos_15_16,25-05-2012,09:43:20,False
glos_15_17,25-05-2012,09:46:17,False
glos_15_18,25-05-2012,09:47:30,False
glos_15_19,25-05-2012,09:50:40,False
glos_15_2,23-05-2012,09:10:11,False
glos_15_20,25-05-2012,09:51:54,False
glos_15_21,25-05-2012,09:55:20,False
glos_15_22,25-05-2012,09:56:47,False
glos_15_23,25-05-2012,10:01:44,False
glos_15_24,25-05-2012,10:02:55,False
glos_15_25,25-05-2012,10:04:19,True
glos_15_26,25-05-2012,10:05:03,True
glos_15_27,25-05-2012,10:05:52,True
glos_15_28,25-05-2012,10:06:41,True
glos_15_29,25-05-2012,10:08:07,True
glos_15_3,25-05-2012,09:07:07,False
glos_15_30,25-05-2012,10:08:55,True
glos_15_31,25-05-2012,10:09:43,True
glos_15_32,25-05-2012,10:10:22,True
glos_15_33,25-05-2012,10:11:05,True
glos_15_34,25-05-2012,10:11:44,True
glos_15_35,25-05-2012,10:12:37,True
glos_15_36,25-05-2012,10:13:25,True
glos_15_37,25-05-2012,10:14:02,True
glos_15_38,25-05-2012,10:14:47,True
glos_15_39,25-05-2012,10:17:20,True
glos_15_4,25-05-2012,09:17:11,True
glos_15_40,25-05-2012,10:18:56,False
glos_15_41,25-05-2012,10:20:36,True
glos_15_42,25-05-2012,10:21:06,True
