,posel
192,KRASULSKI LEONARD
193,KROPIWNICKI ROBERT
194,KRUK EL?BIETA
195,KRUPKA ANNA
196,KRYJ ANDRZEJ
197,KRYNICKA BERNADETA
198,KRZYWONOS-STRYCHARSKA HENRYKA
199,KRZ?KA?A MAREK
200,KRÓL PIOTR
201,KRÓL WOJCIECH
202,KUBIAK DARIUSZ
203,KUBIAK MARTA
204,KUBÓW KRZYSZTOF
205,KUCHARSKI TOMASZ
206,KUCHCI?SKI MAREK
207,KUKIZ PAWE?
208,KULESZA JAKUB
209,KURZ?PA JACEK
210,KWIECIE? ANNA
211,KWITEK MAREK
212,K?OPOTEK EUGENIUSZ
213,K?OSOWSKI S?AWOMIR
214,LAMCZYK STANIS?AW
215,LASSOTA JÓZEF
216,LATOS TOMASZ
217,LATOSI?SKI BOGDAN
218,LENARTOWICZ GABRIELA
219,LENZ TOMASZ
220,LESZCZYNA IZABELA
221,LE?NIAK JÓZEF
222,LICHOCKA JOANNA
223,LIEDER EWA
224,LIPIEC KRZYSZTOF
225,LIPI?SKI ADAM
226,LIROY-MARZEC PIOTR
227,LISIECKI PAWE?
228,LUBCZYK RADOS?AW
229,LUBNAUER KATARZYNA
230,MACHA?EK MARZENA
231,MACIEJEWSKI ANDRZEJ
232,MACIEJEWSKI KRZYSZTOF
233,MACIEREWICZ ANTONI
234,MALIK EWA
235,MALISZEWSKI MIROS?AW
236,MARCHEWKA ARKADIUSZ
237,MAS?OWSKA GABRIELA
238,MAS?OWSKI MACIEJ
239,MATERNA JERZY
240,MATEUSIAK-PIELUCHA BEATA
241,MATUSIAK GRZEGORZ
242,MATUSIEWICZ ANDRZEJ
243,MATUSZEWSKI MAREK
244,MATUSZNY KAZIMIERZ
245,MAZUREK BEATA
246,MA?ECKA-LIBERA BEATA
247,MA?ECKI JERZY
248,MA?ECKI MACIEJ
249,MELAK ANDRZEJ
250,MEYSZTOWICZ JERZY
251,MIAZGA MIECZYS?AW
252,MICHA?EK IWONA
253,MICHA?KIEWICZ KRZYSZTOF
254,MIESZKOWSKI KRZYSZTOF
255,MILCZANOWSKA ANNA
256,MILEWSKI DANIEL
257,MILLER RAJMUND
258,MISI?O PIOTR
259,MORAWIECKI KORNEL
260,MORDAK ROBERT
261,MOSI?SKI JAN
262,MOSKAL KAZIMIERZ
263,MO?D?ANOWSKA AND?ELIKA
264,MROCZEK CZES?AW
265,MRZYG?OCKA IZABELA KATARZYNA
266,MRÓWCZY?SKI ALEKSANDER
267,MUCHA JOANNA
268,MULARCZYK ARKADIUSZ
269,MUNYAMA KILLION
270,MURDZEK WOJCIECH
271,MYRCHA ARKADIUSZ
272,M??YD?O ANTONI
273,M?Y?CZAK ALDONA
274,NAIMSKI PIOTR
275,NEM? ANNA
276,NEUMANN S?AWOMIR
277,NIEDZIELA DOROTA
278,NIEMCZYK MA?GORZATA
279,NIESIO?OWSKI STEFAN
280,NITRAS S?AWOMIR
281,NOWAK TOMASZ PIOTR
282,NYKIEL MIROS?AWA
283,NYKIEL W ?ODZIMIERZ
284,OBRYCKI NORBERT
285,OK?A-DREWNOWICZ MARZENA
286,OLEJNICZAK WALDEMAR
287,OLSZEWSKI PAWE?
288,OLSZÓWKA PIOTR
289,OPIO?A MAREK
290,OSOS KATARZYNA
291,OSTROWSKI KRZYSZTOF
292,OSUCH JACEK
293,O?DAKOWSKI ADAM
294,PALUCH ANNA
295,PAMPUCH MIROS?AW
296,PAPKE PAWE?
297,PARDA B?A?EJ
298,PASZYK KRZYSZTOF
299,PAS?AWSKA URSZULA
300,PAUL JERZY
