voting,date,time
glos_10_161,29-01-2016,21:16:58
glos_10_162,29-01-2016,21:17:27
glos_10_163,29-01-2016,21:17:56
glos_10_164,29-01-2016,21:19:27
glos_10_165,29-01-2016,21:21:39
glos_10_166,29-01-2016,21:23:23
glos_10_167,29-01-2016,21:23:52
glos_10_168,29-01-2016,21:24:25
glos_10_169,29-01-2016,21:24:59
glos_10_17,28-01-2016,21:17:53
glos_10_170,29-01-2016,21:26:16
glos_10_171,29-01-2016,21:28:41
glos_10_172,29-01-2016,21:30:50
glos_10_173,29-01-2016,21:35:27
glos_10_174,29-01-2016,21:36:10
glos_10_175,29-01-2016,21:36:40
glos_10_176,29-01-2016,21:41:22
glos_10_177,29-01-2016,21:41:56
glos_10_178,29-01-2016,21:44:29
glos_10_179,29-01-2016,21:44:58
glos_10_18,28-01-2016,21:20:47
glos_10_180,29-01-2016,21:46:52
glos_10_181,29-01-2016,21:48:06
glos_10_182,29-01-2016,21:50:58
glos_10_183,29-01-2016,21:51:27
glos_10_184,29-01-2016,21:51:54
glos_10_185,29-01-2016,21:52:22
glos_10_186,29-01-2016,21:52:50
glos_10_187,29-01-2016,21:53:22
glos_10_188,29-01-2016,21:54:00
glos_10_189,29-01-2016,21:54:28
glos_10_19,28-01-2016,21:22:47
glos_10_190,29-01-2016,21:57:52
glos_10_191,29-01-2016,22:02:47
glos_10_192,29-01-2016,22:08:30
glos_10_193,29-01-2016,22:11:38
glos_10_194,29-01-2016,22:16:28
glos_10_195,29-01-2016,22:19:43
glos_10_196,29-01-2016,22:24:52
glos_10_197,29-01-2016,22:29:38
glos_10_198,29-01-2016,22:33:33
glos_10_199,29-01-2016,22:34:10
glos_10_2,28-01-2016,20:22:33
glos_10_20,28-01-2016,21:27:50
glos_10_200,29-01-2016,22:35:47
glos_10_201,29-01-2016,22:37:16
glos_10_202,29-01-2016,22:40:10
glos_10_203,29-01-2016,22:40:40
glos_10_204,29-01-2016,22:41:08
glos_10_205,29-01-2016,22:41:35
glos_10_206,29-01-2016,22:42:07
glos_10_207,29-01-2016,22:42:36
glos_10_208,29-01-2016,22:43:07
glos_10_209,29-01-2016,22:43:37
glos_10_21,28-01-2016,21:30:27
glos_10_210,29-01-2016,22:44:05
glos_10_211,29-01-2016,22:44:35
glos_10_212,29-01-2016,22:45:01
glos_10_213,29-01-2016,22:45:46
glos_10_214,29-01-2016,22:46:22
glos_10_215,29-01-2016,22:46:51
glos_10_216,29-01-2016,22:48:03
glos_10_217,29-01-2016,22:48:33
glos_10_218,29-01-2016,22:49:22
glos_10_219,29-01-2016,22:49:49
glos_10_22,28-01-2016,21:32:21
glos_10_220,29-01-2016,22:51:56
glos_10_221,29-01-2016,22:53:41
glos_10_222,29-01-2016,22:54:09
glos_10_223,29-01-2016,22:54:36
glos_10_224,29-01-2016,22:55:05
glos_10_225,29-01-2016,22:56:30
glos_10_226,29-01-2016,22:57:00
glos_10_227,29-01-2016,22:57:26
glos_10_228,29-01-2016,22:58:41
glos_10_229,29-01-2016,22:59:39
glos_10_23,28-01-2016,21:33:00
glos_10_230,29-01-2016,23:19:38
glos_10_231,29-01-2016,23:21:27
glos_10_232,29-01-2016,23:21:57
glos_10_233,29-01-2016,23:23:41
glos_10_234,29-01-2016,23:29:43
glos_10_235,29-01-2016,23:30:28
glos_10_236,29-01-2016,23:31:11
glos_10_237,29-01-2016,23:32:50
glos_10_238,29-01-2016,23:33:21
glos_10_239,29-01-2016,23:33:52
glos_10_24,28-01-2016,21:34:52
glos_10_240,29-01-2016,23:34:23
glos_10_241,29-01-2016,23:36:22
glos_10_242,29-01-2016,23:38:05
glos_10_243,29-01-2016,23:38:38
glos_10_244,29-01-2016,23:39:12
glos_10_245,29-01-2016,23:39:45
glos_10_246,29-01-2016,23:40:14
glos_10_247,29-01-2016,23:40:43
glos_10_248,29-01-2016,23:41:14
glos_10_249,29-01-2016,23:41:44
glos_10_25,28-01-2016,21:36:50
glos_10_250,29-01-2016,23:42:14
glos_10_251,29-01-2016,23:42:43
glos_10_252,29-01-2016,23:43:11
glos_10_253,29-01-2016,23:43:39
glos_10_254,29-01-2016,23:44:07
glos_10_255,29-01-2016,23:44:38
glos_10_256,29-01-2016,23:45:10
glos_10_257,29-01-2016,23:46:55
glos_10_258,29-01-2016,23:48:57
glos_10_259,29-01-2016,23:51:06
glos_10_26,28-01-2016,21:37:32
glos_10_260,29-01-2016,23:53:04
glos_10_261,29-01-2016,23:53:36
glos_10_262,29-01-2016,23:54:05
glos_10_263,29-01-2016,23:54:33
glos_10_264,29-01-2016,23:54:58
glos_10_265,29-01-2016,23:55:26
glos_10_266,29-01-2016,23:55:54
glos_10_267,29-01-2016,23:56:23
glos_10_268,29-01-2016,23:58:10
glos_10_269,29-01-2016,23:58:38
glos_10_27,28-01-2016,21:39:08
glos_10_270,29-01-2016,23:59:18
glos_10_271,30-01-2016,00:00:51
glos_10_272,30-01-2016,00:02:44
glos_10_273,30-01-2016,00:03:11
glos_10_274,30-01-2016,00:03:39
glos_10_275,30-01-2016,00:04:06
glos_10_276,30-01-2016,00:04:35
glos_10_277,30-01-2016,00:05:07
glos_10_278,30-01-2016,00:05:55
glos_10_279,30-01-2016,00:06:28
glos_10_28,28-01-2016,21:39:43
glos_10_280,30-01-2016,00:06:59
glos_10_281,30-01-2016,00:07:30
glos_10_282,30-01-2016,00:07:57
glos_10_283,30-01-2016,00:08:25
glos_10_284,30-01-2016,00:08:52
glos_10_285,30-01-2016,00:09:20
glos_10_286,30-01-2016,00:09:47
glos_10_287,30-01-2016,00:10:15
glos_10_288,30-01-2016,00:10:42
glos_10_289,30-01-2016,00:11:15
glos_10_29,28-01-2016,21:43:14
glos_10_290,30-01-2016,00:11:47
glos_10_291,30-01-2016,00:12:16
glos_10_292,30-01-2016,00:12:43
glos_10_293,30-01-2016,00:19:42
glos_10_294,30-01-2016,00:21:28
glos_10_295,30-01-2016,00:21:57
glos_10_296,30-01-2016,00:24:10
glos_10_297,30-01-2016,00:24:40
glos_10_298,30-01-2016,00:25:07
glos_10_299,30-01-2016,00:25:34
glos_10_3,28-01-2016,20:31:56
glos_10_30,28-01-2016,21:46:39
glos_10_300,30-01-2016,00:27:21
glos_10_301,30-01-2016,00:27:59
glos_10_302,30-01-2016,00:28:34
glos_10_303,30-01-2016,00:30:11
glos_10_304,30-01-2016,00:30:42
glos_10_305,30-01-2016,00:31:17
glos_10_306,30-01-2016,00:32:45
glos_10_307,30-01-2016,00:34:51
glos_10_308,30-01-2016,00:35:21
glos_10_309,30-01-2016,00:35:55
glos_10_31,28-01-2016,21:48:47
glos_10_310,30-01-2016,00:36:26
glos_10_311,30-01-2016,00:37:33
glos_10_312,30-01-2016,00:39:18
glos_10_313,30-01-2016,00:39:52
glos_10_314,30-01-2016,00:40:23
glos_10_315,30-01-2016,00:40:50
glos_10_316,30-01-2016,00:41:19
glos_10_317,30-01-2016,00:41:47
glos_10_318,30-01-2016,00:42:28
glos_10_319,30-01-2016,00:44:15
glos_10_32,28-01-2016,21:49:18
glos_10_320,30-01-2016,00:44:47
glos_10_321,30-01-2016,00:45:16
glos_10_322,30-01-2016,00:45:44
glos_10_323,30-01-2016,00:46:14
glos_10_324,30-01-2016,00:48:58
glos_10_325,30-01-2016,00:50:26
glos_10_326,30-01-2016,00:53:31
glos_10_327,30-01-2016,00:57:01
glos_10_328,30-01-2016,00:58:32
glos_10_329,30-01-2016,00:59:00
glos_10_33,28-01-2016,21:51:22
glos_10_330,30-01-2016,00:59:30
glos_10_331,30-01-2016,01:00:00
glos_10_332,30-01-2016,01:01:30
glos_10_333,30-01-2016,01:02:47
glos_10_334,30-01-2016,01:04:33
glos_10_335,30-01-2016,01:05:00
glos_10_336,30-01-2016,01:05:29
glos_10_337,30-01-2016,01:05:57
glos_10_338,30-01-2016,01:06:25
glos_10_339,30-01-2016,01:06:54
glos_10_34,28-01-2016,21:54:51
glos_10_340,30-01-2016,01:07:20
glos_10_341,30-01-2016,01:07:52
glos_10_342,30-01-2016,01:09:41
glos_10_343,30-01-2016,01:10:09
glos_10_344,30-01-2016,01:10:35
glos_10_345,30-01-2016,01:11:02
glos_10_346,30-01-2016,01:11:28
glos_10_347,30-01-2016,01:11:54
glos_10_348,30-01-2016,01:13:11
glos_10_349,30-01-2016,01:15:07
glos_10_35,28-01-2016,22:00:44
glos_10_350,30-01-2016,01:16:55
glos_10_351,30-01-2016,01:17:23
glos_10_352,30-01-2016,01:17:52
glos_10_353,30-01-2016,01:21:01
glos_10_354,30-01-2016,01:21:27
glos_10_355,30-01-2016,01:23:16
glos_10_356,30-01-2016,01:24:55
glos_10_357,30-01-2016,01:26:22
glos_10_358,30-01-2016,01:26:52
glos_10_359,30-01-2016,01:27:23
glos_10_36,28-01-2016,22:01:49
glos_10_360,30-01-2016,01:27:55
glos_10_361,30-01-2016,01:39:29
glos_10_362,30-01-2016,01:45:00
glos_10_363,30-01-2016,01:47:30
glos_10_364,30-01-2016,01:50:38
glos_10_365,30-01-2016,01:54:50
glos_10_366,30-01-2016,01:55:40
glos_10_367,30-01-2016,01:57:33
glos_10_368,30-01-2016,01:59:37
glos_10_369,30-01-2016,02:10:01
glos_10_37,28-01-2016,22:02:35
glos_10_370,30-01-2016,02:10:57
glos_10_371,30-01-2016,02:11:48
glos_10_38,28-01-2016,22:04:43
glos_10_39,28-01-2016,22:07:12
glos_10_4,28-01-2016,20:32:33
glos_10_40,28-01-2016,22:10:33
glos_10_41,28-01-2016,22:12:42
glos_10_42,28-01-2016,22:15:11
glos_10_43,28-01-2016,22:15:57
glos_10_44,28-01-2016,22:16:30
glos_10_45,28-01-2016,22:19:52
glos_10_46,28-01-2016,22:21:44
glos_10_47,28-01-2016,22:27:31
glos_10_48,28-01-2016,22:29:24
glos_10_49,28-01-2016,22:32:39
glos_10_5,28-01-2016,20:34:38
glos_10_50,28-01-2016,22:50:07
glos_10_51,28-01-2016,22:52:54
glos_10_52,28-01-2016,22:55:13
glos_10_53,28-01-2016,22:56:27
glos_10_54,28-01-2016,22:57:08
glos_10_55,28-01-2016,22:57:43
glos_10_56,28-01-2016,22:59:42
glos_10_57,28-01-2016,23:00:14
glos_10_58,28-01-2016,23:01:57
glos_10_59,28-01-2016,23:03:57
glos_10_6,28-01-2016,20:37:51
glos_10_60,28-01-2016,23:10:02
glos_10_61,28-01-2016,23:35:53
glos_10_62,28-01-2016,23:37:24
glos_10_63,28-01-2016,23:40:31
glos_10_64,28-01-2016,23:42:28
glos_10_65,28-01-2016,23:45:53
glos_10_66,28-01-2016,23:47:32
glos_10_67,28-01-2016,23:48:00
glos_10_68,28-01-2016,23:48:29
glos_10_69,28-01-2016,23:50:25
glos_10_7,28-01-2016,20:38:36
glos_10_70,28-01-2016,23:50:57
glos_10_71,28-01-2016,23:51:25
glos_10_72,28-01-2016,23:51:53
glos_10_73,28-01-2016,23:53:20
glos_10_74,28-01-2016,23:55:14
glos_10_75,28-01-2016,23:57:03
glos_10_76,28-01-2016,23:59:02
glos_10_77,29-01-2016,00:00:39
glos_10_78,29-01-2016,00:02:10
glos_10_79,29-01-2016,00:02:40
glos_10_8,28-01-2016,20:41:12
glos_10_80,29-01-2016,00:04:21
glos_10_81,29-01-2016,00:06:00
glos_10_82,29-01-2016,00:06:29
glos_10_83,29-01-2016,00:08:00
glos_10_84,29-01-2016,00:10:11
glos_10_85,29-01-2016,00:10:41
glos_10_86,29-01-2016,00:13:19
glos_10_87,29-01-2016,00:13:49
glos_10_88,29-01-2016,00:16:05
glos_10_89,29-01-2016,00:17:33
glos_10_9,28-01-2016,20:45:51
glos_10_90,29-01-2016,00:18:04
glos_10_91,29-01-2016,00:19:44
glos_10_92,29-01-2016,00:20:15
glos_10_93,29-01-2016,00:20:45
glos_10_94,29-01-2016,00:23:24
glos_10_95,29-01-2016,00:27:56
glos_10_96,29-01-2016,00:28:27
glos_10_97,29-01-2016,00:30:43
glos_10_98,29-01-2016,00:31:20
glos_10_99,29-01-2016,00:31:52
glos_11_1,09-02-2016,16:11:02
glos_11_10,11-02-2016,09:50:52
glos_11_11,11-02-2016,09:54:33
glos_11_12,11-02-2016,10:00:12
glos_11_13,11-02-2016,10:08:14
glos_11_14,11-02-2016,10:15:57
glos_11_15,11-02-2016,10:29:16
glos_11_16,11-02-2016,10:37:55
glos_11_17,11-02-2016,10:43:51
glos_11_18,11-02-2016,10:45:58
glos_11_19,11-02-2016,10:54:26
glos_11_2,09-02-2016,16:11:55
glos_11_20,11-02-2016,11:03:03
glos_11_21,11-02-2016,11:08:37
glos_11_22,11-02-2016,11:19:19
glos_11_23,11-02-2016,11:25:16
glos_11_24,11-02-2016,11:28:25
glos_11_25,11-02-2016,11:32:33
glos_11_26,11-02-2016,11:36:26
glos_11_27,11-02-2016,11:41:24
glos_11_28,11-02-2016,11:46:13
glos_11_29,11-02-2016,12:30:40
glos_11_3,09-02-2016,16:13:24
glos_11_30,11-02-2016,12:35:04
glos_11_31,11-02-2016,12:38:58
glos_11_32,11-02-2016,12:43:09
glos_11_33,11-02-2016,12:43:59
glos_11_34,11-02-2016,12:56:46
glos_11_35,11-02-2016,13:00:22
glos_11_36,11-02-2016,13:00:56
glos_11_37,11-02-2016,13:01:27
glos_11_38,11-02-2016,13:07:04
glos_11_39,11-02-2016,13:10:24
glos_11_4,11-02-2016,09:09:57
glos_11_5,11-02-2016,09:14:51
glos_11_6,11-02-2016,09:26:32
glos_11_7,11-02-2016,09:35:53
glos_11_8,11-02-2016,09:38:58
glos_11_9,11-02-2016,09:41:11
glos_12_1,25-02-2016,19:10:52
glos_12_10,25-02-2016,19:56:58
glos_12_11,25-02-2016,19:57:50
glos_12_12,25-02-2016,20:00:19
glos_12_13,25-02-2016,20:03:39
glos_12_14,25-02-2016,20:04:29
glos_12_15,25-02-2016,20:05:09
glos_12_16,25-02-2016,20:05:54
glos_12_17,25-02-2016,20:06:35
glos_12_18,25-02-2016,20:07:18
glos_12_19,25-02-2016,20:08:03
glos_12_2,25-02-2016,19:20:33
glos_12_20,25-02-2016,20:08:50
glos_12_21,25-02-2016,20:09:35
glos_12_22,25-02-2016,20:10:19
glos_12_23,25-02-2016,20:10:53
glos_12_24,25-02-2016,20:11:51
glos_12_25,25-02-2016,20:13:58
glos_12_26,25-02-2016,20:14:39
glos_12_27,25-02-2016,20:22:50
glos_12_28,25-02-2016,20:24:03
glos_12_29,25-02-2016,20:24:43
glos_12_3,25-02-2016,19:26:42
glos_12_30,25-02-2016,20:25:33
glos_12_31,25-02-2016,20:26:15
glos_12_32,25-02-2016,20:26:48
glos_12_33,25-02-2016,20:27:27
glos_12_34,25-02-2016,20:28:06
glos_12_35,25-02-2016,20:28:40
glos_12_36,26-02-2016,10:13:13
glos_12_37,26-02-2016,10:13:52
glos_12_38,26-02-2016,10:14:25
glos_12_39,26-02-2016,10:15:21
glos_12_4,25-02-2016,19:33:29
glos_12_5,25-02-2016,19:46:09
glos_12_6,25-02-2016,19:50:06
glos_12_7,25-02-2016,19:53:01
glos_12_8,25-02-2016,19:55:14
glos_12_9,25-02-2016,19:56:16
glos_13_1,09-03-2016,16:09:28
glos_13_10,11-03-2016,09:25:18
glos_13_11,11-03-2016,09:25:48
glos_13_12,11-03-2016,09:26:42
glos_13_13,11-03-2016,09:29:11
glos_13_14,11-03-2016,09:35:28
glos_13_15,11-03-2016,09:36:24
glos_13_16,11-03-2016,09:37:06
glos_13_17,11-03-2016,09:37:40
glos_13_18,11-03-2016,09:39:38
glos_13_19,11-03-2016,09:43:14
glos_13_2,09-03-2016,16:19:50
glos_13_20,11-03-2016,09:43:49
glos_13_21,11-03-2016,09:44:22
glos_13_22,11-03-2016,09:45:00
glos_13_23,11-03-2016,09:45:36
glos_13_24,11-03-2016,09:47:19
glos_13_25,11-03-2016,09:47:53
glos_13_26,11-03-2016,09:48:29
glos_13_27,11-03-2016,09:49:03
glos_13_28,11-03-2016,09:49:40
glos_13_29,11-03-2016,09:53:25
glos_13_3,11-03-2016,09:06:37
glos_13_30,11-03-2016,09:54:00
glos_13_31,11-03-2016,09:54:45
glos_13_32,11-03-2016,09:55:36
glos_13_33,11-03-2016,09:56:08
glos_13_34,11-03-2016,09:56:52
glos_13_35,11-03-2016,09:57:38
glos_13_36,11-03-2016,09:58:21
glos_13_37,11-03-2016,09:58:56
glos_13_38,11-03-2016,10:09:27
glos_13_39,11-03-2016,10:10:19
glos_13_4,11-03-2016,09:15:15
glos_13_40,11-03-2016,10:40:13
glos_13_41,11-03-2016,10:48:44
glos_13_42,11-03-2016,10:49:16
glos_13_43,11-03-2016,10:49:48
glos_13_44,11-03-2016,10:50:25
glos_13_45,11-03-2016,10:51:25
glos_13_5,11-03-2016,09:17:48
glos_13_6,11-03-2016,09:21:03
glos_13_7,11-03-2016,09:21:35
glos_13_8,11-03-2016,09:23:28
glos_13_9,11-03-2016,09:24:24
glos_14_1,16-03-2016,13:39:01
glos_14_10,18-03-2016,09:12:28
glos_14_11,18-03-2016,09:13:02
glos_14_12,18-03-2016,09:13:36
glos_14_13,18-03-2016,09:14:15
glos_14_14,18-03-2016,09:14:46
glos_14_15,18-03-2016,09:15:21
glos_14_16,18-03-2016,09:23:09
glos_14_17,18-03-2016,09:29:41
glos_14_18,18-03-2016,09:32:08
glos_14_19,18-03-2016,09:32:53
glos_14_2,16-03-2016,13:39:57
glos_14_20,18-03-2016,09:33:39
glos_14_21,18-03-2016,09:36:56
glos_14_22,18-03-2016,09:39:11
glos_14_23,18-03-2016,09:45:48
glos_14_24,18-03-2016,09:59:39
glos_14_25,18-03-2016,10:05:37
glos_14_26,18-03-2016,10:06:09
glos_14_27,18-03-2016,10:06:48
glos_14_28,18-03-2016,10:10:12
glos_14_29,18-03-2016,10:13:50
glos_14_3,16-03-2016,17:45:31
glos_14_30,18-03-2016,10:14:25
glos_14_31,18-03-2016,10:14:59
glos_14_32,18-03-2016,10:15:30
glos_14_33,18-03-2016,10:16:02
glos_14_34,18-03-2016,10:16:34
glos_14_35,18-03-2016,10:17:03
glos_14_36,18-03-2016,10:19:28
glos_14_37,18-03-2016,10:20:21
glos_14_38,18-03-2016,10:21:05
glos_14_39,18-03-2016,10:23:21
glos_14_4,16-03-2016,17:46:28
glos_14_40,18-03-2016,10:34:08
glos_14_41,18-03-2016,10:36:49
glos_14_42,18-03-2016,10:51:20
glos_14_43,18-03-2016,10:54:43
glos_14_44,18-03-2016,10:56:50
glos_14_45,18-03-2016,11:08:49
glos_14_46,18-03-2016,11:11:03
glos_14_47,18-03-2016,11:17:10
glos_14_48,18-03-2016,11:18:21
glos_14_49,18-03-2016,11:23:27
glos_14_5,16-03-2016,17:47:54
glos_14_50,18-03-2016,11:24:36
glos_14_51,18-03-2016,11:33:30
glos_14_52,18-03-2016,11:34:14
glos_14_6,17-03-2016,09:19:35
glos_14_7,18-03-2016,09:10:39
glos_14_8,18-03-2016,09:11:22
glos_14_9,18-03-2016,09:11:54
glos_15_1,31-03-2016,18:19:54
glos_15_10,31-03-2016,18:48:22
glos_15_100,31-03-2016,21:14:29
glos_15_101,31-03-2016,21:15:05
glos_15_102,31-03-2016,21:15:38
glos_15_103,31-03-2016,21:16:13
glos_15_104,31-03-2016,21:16:47
glos_15_105,31-03-2016,21:18:43
glos_15_106,31-03-2016,21:19:17
glos_15_107,31-03-2016,21:19:47
glos_15_108,31-03-2016,21:20:14
glos_15_109,31-03-2016,21:22:33
glos_15_11,31-03-2016,18:49:13
glos_15_110,31-03-2016,21:23:26
glos_15_111,31-03-2016,21:23:57
glos_15_112,31-03-2016,21:24:24
glos_15_113,31-03-2016,21:24:52
glos_15_114,31-03-2016,21:25:22
glos_15_115,31-03-2016,21:25:53
glos_15_116,31-03-2016,21:26:29
glos_15_117,31-03-2016,21:27:03
glos_15_118,31-03-2016,21:28:42
glos_15_119,31-03-2016,21:29:12
glos_15_12,31-03-2016,18:51:28
glos_15_120,31-03-2016,21:29:42
glos_15_121,31-03-2016,21:30:16
glos_15_122,31-03-2016,21:30:44
glos_15_123,31-03-2016,21:31:12
glos_15_124,31-03-2016,21:35:56
glos_15_125,01-04-2016,09:23:45
glos_15_126,01-04-2016,09:29:14
glos_15_127,01-04-2016,09:37:05
glos_15_128,01-04-2016,09:40:22
glos_15_129,01-04-2016,09:45:40
glos_15_13,31-03-2016,18:53:39
glos_15_130,01-04-2016,09:46:22
glos_15_131,01-04-2016,09:48:41
glos_15_132,01-04-2016,09:56:26
glos_15_133,01-04-2016,09:57:23
glos_15_134,01-04-2016,10:00:31
glos_15_135,01-04-2016,10:01:08
glos_15_136,01-04-2016,10:01:41
glos_15_137,01-04-2016,10:02:45
glos_15_14,31-03-2016,18:54:13
glos_15_15,31-03-2016,18:54:55
glos_15_16,31-03-2016,18:58:08
glos_15_17,31-03-2016,19:03:10
glos_15_18,31-03-2016,19:03:44
glos_15_19,31-03-2016,19:05:37
glos_15_2,31-03-2016,18:25:49
glos_15_20,31-03-2016,19:09:30
glos_15_21,31-03-2016,19:11:07
glos_15_22,31-03-2016,19:13:01
glos_15_23,31-03-2016,19:15:38
glos_15_24,31-03-2016,19:16:16
glos_15_25,31-03-2016,19:23:22
glos_15_26,31-03-2016,19:25:01
glos_15_27,31-03-2016,19:25:38
glos_15_28,31-03-2016,19:27:44
glos_15_29,31-03-2016,19:30:11
glos_15_3,31-03-2016,18:27:37
glos_15_30,31-03-2016,19:32:05
glos_15_31,31-03-2016,19:34:42
glos_15_32,31-03-2016,19:38:04
glos_15_33,31-03-2016,19:39:51
glos_15_34,31-03-2016,19:40:27
glos_15_35,31-03-2016,19:40:58
glos_15_36,31-03-2016,19:41:27
glos_15_37,31-03-2016,19:41:58
glos_15_38,31-03-2016,19:42:31
glos_15_39,31-03-2016,19:43:05
glos_15_4,31-03-2016,18:30:20
glos_15_40,31-03-2016,19:43:44
glos_15_41,31-03-2016,19:44:18
glos_15_42,31-03-2016,19:44:51
glos_15_43,31-03-2016,19:45:21
glos_15_44,31-03-2016,19:45:51
glos_15_45,31-03-2016,19:46:24
glos_15_46,31-03-2016,19:47:05
glos_15_47,31-03-2016,19:48:02
glos_15_48,31-03-2016,19:49:56
glos_15_49,31-03-2016,19:50:35
glos_15_5,31-03-2016,18:34:31
glos_15_50,31-03-2016,19:52:45
glos_15_51,31-03-2016,19:57:11
glos_15_52,31-03-2016,19:57:53
glos_15_53,31-03-2016,19:58:32
glos_15_54,31-03-2016,19:59:08
glos_15_55,31-03-2016,20:01:26
glos_15_56,31-03-2016,20:01:58
glos_15_57,31-03-2016,20:26:02
glos_15_58,31-03-2016,20:30:04
glos_15_59,31-03-2016,20:30:55
glos_15_6,31-03-2016,18:38:36
glos_15_60,31-03-2016,20:36:42
glos_15_61,31-03-2016,20:37:40
glos_15_62,31-03-2016,20:40:13
glos_15_63,31-03-2016,20:41:16
glos_15_64,31-03-2016,20:42:24
glos_15_65,31-03-2016,20:43:36
glos_15_66,31-03-2016,20:44:09
glos_15_67,31-03-2016,20:44:45
glos_15_68,31-03-2016,20:45:18
glos_15_69,31-03-2016,20:45:55
glos_15_7,31-03-2016,18:42:01
glos_15_70,31-03-2016,20:46:36
glos_15_71,31-03-2016,20:47:21
glos_15_72,31-03-2016,20:48:06
glos_15_73,31-03-2016,20:48:37
glos_15_74,31-03-2016,20:49:19
glos_15_75,31-03-2016,20:50:02
glos_15_76,31-03-2016,20:50:38
glos_15_77,31-03-2016,20:51:21
glos_15_78,31-03-2016,20:52:14
glos_15_79,31-03-2016,20:52:46
glos_15_8,31-03-2016,18:43:15
glos_15_80,31-03-2016,20:53:21
glos_15_81,31-03-2016,20:54:22
glos_15_82,31-03-2016,20:55:21
glos_15_83,31-03-2016,20:55:52
glos_15_84,31-03-2016,20:56:23
glos_15_85,31-03-2016,20:57:21
glos_15_86,31-03-2016,20:58:07
glos_15_87,31-03-2016,20:58:45
glos_15_88,31-03-2016,20:59:22
glos_15_89,31-03-2016,21:07:30
glos_15_9,31-03-2016,18:47:44
glos_15_90,31-03-2016,21:08:12
glos_15_91,31-03-2016,21:08:56
glos_15_92,31-03-2016,21:09:30
glos_15_93,31-03-2016,21:10:04
glos_15_94,31-03-2016,21:10:44
glos_15_95,31-03-2016,21:11:20
glos_15_96,31-03-2016,21:11:55
glos_15_97,31-03-2016,21:12:39
glos_15_98,31-03-2016,21:13:14
glos_15_99,31-03-2016,21:13:54
glos_16_1,13-04-2016,09:10:58
glos_16_10,13-04-2016,19:34:40
glos_16_11,13-04-2016,19:38:30
glos_16_12,13-04-2016,19:39:04
glos_16_13,13-04-2016,19:40:58
glos_16_14,13-04-2016,19:49:01
glos_16_15,13-04-2016,19:52:13
glos_16_16,13-04-2016,19:52:54
glos_16_17,13-04-2016,19:53:26
glos_16_18,13-04-2016,19:53:54
glos_16_19,13-04-2016,19:59:56
glos_16_2,13-04-2016,09:17:17
glos_16_20,13-04-2016,20:07:37
glos_16_21,13-04-2016,20:11:28
glos_16_22,13-04-2016,20:12:47
glos_16_23,13-04-2016,20:13:31
