voting,date,time
glos_10_1,28-01-2016,20:17:10
glos_10_10,28-01-2016,20:52:02
glos_10_100,29-01-2016,00:32:27
glos_10_101,29-01-2016,00:34:53
glos_10_102,29-01-2016,00:36:48
glos_10_103,29-01-2016,00:38:35
glos_10_104,29-01-2016,00:39:05
glos_10_105,29-01-2016,00:41:19
glos_10_106,29-01-2016,00:43:00
glos_10_107,29-01-2016,00:45:33
glos_10_108,29-01-2016,00:46:03
glos_10_109,29-01-2016,00:46:33
glos_10_11,28-01-2016,20:56:22
glos_10_110,29-01-2016,00:48:02
glos_10_111,29-01-2016,00:48:32
glos_10_112,29-01-2016,00:49:03
glos_10_113,29-01-2016,00:49:31
glos_10_114,29-01-2016,00:49:59
glos_10_115,29-01-2016,00:51:41
glos_10_116,29-01-2016,00:52:10
glos_10_117,29-01-2016,00:54:04
glos_10_118,29-01-2016,00:54:34
glos_10_119,29-01-2016,00:55:03
glos_10_12,28-01-2016,20:59:31
glos_10_120,29-01-2016,00:56:04
glos_10_121,29-01-2016,00:56:32
glos_10_122,29-01-2016,00:59:44
glos_10_123,29-01-2016,01:00:13
glos_10_124,29-01-2016,01:01:47
glos_10_125,29-01-2016,01:04:01
glos_10_126,29-01-2016,01:05:52
glos_10_127,29-01-2016,01:06:22
glos_10_128,29-01-2016,01:06:52
glos_10_129,29-01-2016,01:08:00
glos_10_13,28-01-2016,21:01:34
glos_10_130,29-01-2016,01:09:55
glos_10_131,29-01-2016,01:12:06
glos_10_132,29-01-2016,01:13:07
glos_10_133,29-01-2016,01:13:38
glos_10_134,29-01-2016,01:14:08
glos_10_135,29-01-2016,01:14:36
glos_10_136,29-01-2016,01:15:09
glos_10_137,29-01-2016,01:15:38
glos_10_138,29-01-2016,01:16:05
glos_10_139,29-01-2016,01:16:33
glos_10_14,28-01-2016,21:04:18
glos_10_140,29-01-2016,01:17:03
glos_10_141,29-01-2016,01:18:42
glos_10_142,29-01-2016,01:19:12
glos_10_143,29-01-2016,01:19:40
glos_10_144,29-01-2016,01:20:09
glos_10_145,29-01-2016,01:21:05
glos_10_146,29-01-2016,01:22:19
glos_10_147,29-01-2016,01:22:51
glos_10_148,29-01-2016,01:23:24
glos_10_149,29-01-2016,01:23:52
glos_10_15,28-01-2016,21:07:32
glos_10_150,29-01-2016,01:26:04
glos_10_151,29-01-2016,01:29:03
glos_10_152,29-01-2016,01:29:32
glos_10_153,29-01-2016,01:35:48
glos_10_154,29-01-2016,21:07:55
glos_10_155,29-01-2016,21:09:13
glos_10_156,29-01-2016,21:10:09
glos_10_157,29-01-2016,21:11:00
glos_10_158,29-01-2016,21:11:33
glos_10_159,29-01-2016,21:12:03
glos_10_16,28-01-2016,21:12:33
glos_10_160,29-01-2016,21:15:13
